,DATA,TIPO,AREA,EMPRESA,LINHA,"PASSAGEIROS PAGANTES EM DINHEIRO

(A)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM

(B)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM MENSAL

(C)","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE

(D) ","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE MENSAL

(E) ","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE

(F)","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE MENSAL

(G)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM

(H)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM MENSAL

(I)","PASSAGEIROS PAGANTES

(J) = (A+B+C+D+E+F+G+H+I)","PASSAGEIROS INTEGRAÇÕES ÔNIBUS -> ÔNIBUS

(K)","PASSAGEIROS COM GRATUIDADE

(L)","TOTAL PASSAGEIROS TRANSPORTADOS

(M) = (J + K + L)"
34,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,821510 - JD PAULISTANO/PCA DO CORREIO,417,758,24,45,1,707,1,25,0,1978,957,409,3344
35,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,830010 - TERM PIRITUBA/TERM LAPA,205,436,20,38,1,328,0,128,1,1157,988,263,2408
36,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,830011 - TERMINAL PIRITUBA/TERM LAPA,19,32,0,1,0,26,0,7,0,85,52,3,140
37,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,840010 - TERM PIRITUBA/PCA RAMOS,907,1581,82,146,13,1617,4,268,3,4621,3848,943,9412
38,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,846M10 - JD MARISA/SHOP IBIRAPUERA,101,127,4,8,0,127,1,17,0,385,116,58,559
39,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,847J10 - CITY JARAGUA/JAGUARE,177,421,6,32,0,402,1,27,0,1066,523,157,1746
40,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,847P10 - TERM PIRITUBA/ITAIM BIBI,582,1048,46,68,1,1017,9,185,3,2961,2098,429,5488
41,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,850010 - TERM PIRITUBA/BARRA FUNDA,417,717,39,60,7,1060,4,550,0,2854,2101,475,5430
42,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,852810 - JD GUARANI/PCA DO CORREIO,374,622,26,49,0,718,1,31,0,1821,830,361,3012
43,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,854410 - CID DABRIL 3 GLEBA/PC RAMOS AZ,0,0,0,0,0,1,0,0,0,1,3,1,5
44,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,854810 - JD DOS CUNHAS/PCA DO CORREIO,262,419,14,32,0,349,2,64,0,1142,581,214,1937
45,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,854910 - TAIPAS/PCA DO CORREIO,600,947,45,56,4,815,2,66,0,2537,996,539,4072
46,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,859410 - CID DABRIL/PCA RAMOS AZEVEDO,878,1284,46,113,6,1180,3,202,1,3713,1898,703,6314
47,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,860010 - TERM PIRITUBA/LGO PAISSANDU,260,470,31,47,2,556,0,42,0,1408,1266,216,2890
48,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,862210 - MORRO DOCE/PCA RAMOS DE AZEVED,1340,1978,30,122,2,1905,1,315,0,5693,1980,498,8171
49,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,867710 - JD LIBANO/PCA RAMOS DE AZEVEDO,489,557,13,43,1,611,0,97,0,1812,607,240,2659
50,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,867731 - JD LIBANO/PCA RAMOS AZEVEDO,415,460,13,45,0,491,3,87,0,1514,599,227,2340
51,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,868610 - MANGALOT/PCA RAMOS AZEVEDO,369,472,23,38,0,466,4,83,0,1455,534,222,2211
52,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,869610 - JARAGUA/PCA RAMOS AZEVEDO,273,392,22,38,0,305,1,37,0,1068,452,173,1693
53,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,869641 - JARAGUA/PCA RAMOS AZEVEDO,254,381,16,31,0,366,0,37,0,1085,402,185,1672
54,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,888P10 - PERUS/COHAB TAIPAS,956,1005,31,88,0,915,4,280,2,3281,1426,845,5552
55,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,901210 - ITABERABA/TERM LAPA,77,88,4,11,0,120,0,17,0,317,149,82,548
56,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,902210 - V IORIO TERM LAPA,121,211,8,14,0,149,0,44,0,547,260,171,978
57,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,917H10 - MERCADO PIRITUBA/VLA MARIANA,1275,1550,60,116,1,1435,10,380,1,4829,2415,707,7951
58,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,930110 - TERM CASA VERDE/PAISSANDU,350,496,10,22,2,255,0,35,2,1172,450,185,1807
59,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,938C10 - COHAB TAIPAS/TERM PRINC ISABEL,304,477,23,51,0,410,0,48,0,1315,577,329,2221
60,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,948A10 - VL ZATTI/TERM PIRITUBA,245,364,14,53,0,357,1,101,1,1136,515,216,1867
61,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,950010 - TERM CACHOEIRINHA/PAISSANDU,540,974,41,61,0,835,14,66,4,2535,2071,489,5095
62,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,950110 - TERM  CACHOEIRINHA/PAISSANDU,510,930,38,55,4,828,3,48,1,2417,2054,398,4869
63,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,957T10 - COHAB TAIPAS/ITAIM BIBI,320,494,27,32,0,513,1,73,0,1460,809,277,2546
64,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,958P10 - JD NARDINI/COHAB TAIPAS,201,245,6,24,0,245,1,44,2,768,311,105,1184
65,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,965310 - PEDRA BRANCA/LGO DO PAISSANDU,825,1100,53,82,0,963,6,27,0,3056,1701,625,5382
66,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,975A10 - VILA BRASILANDIA/METRO ANA ROS,163,365,11,34,0,357,0,36,0,966,558,162,1686
67,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,978J10 - VOITH/PCA PRINC ISABEL,350,651,19,76,1,696,1,63,0,1857,818,357,3032
68,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,978L10 - TERM CACHOEIRNHA/TERM P ISABEL,338,647,35,51,0,578,3,163,1,1816,1328,335,3479
69,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,106A10 - METRO SANTANA / ITAIM BIBI,497,859,42,55,1,981,0,188,1,2625,2009,381,5015
70,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,107P10 - MANDAQUI/PINHEIROS,4,0,0,0,0,0,0,0,0,4,0,0,4
71,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,107T10 - CID UNIVERSIT/ METRO TUCURUVI,238,409,20,25,3,305,1,82,2,1085,952,241,2278
72,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,115610 - VILA SABRINA/PC DO CORREIO,799,801,24,54,3,601,0,69,2,2353,890,423,3666
73,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,118C10 - JD PERY ALTO/METRO ST CECILIA,1144,1780,54,119,2,1445,3,253,2,4802,1829,727,7358
74,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,119C10 - VILA SABRINA/TERM PRINC ISABEL,626,424,5,28,0,333,1,43,0,1460,351,258,2069
75,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,119P10 - VILA PAIVA/TERM PRINC ISABEL,96,90,7,5,1,95,1,20,0,315,111,42,468
76,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,148L10 - CACHOEIRINHA/LAPA,1029,1326,35,109,3,1187,3,108,0,3800,1735,925,6460
77,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,148P10 - JD PERY/LAPA,685,1075,35,85,4,875,6,117,5,2887,1360,663,4910
78,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,170310 - CAMPO LIMPO/TERM PARADA INGLES,319,502,13,66,0,439,1,32,1,1373,613,287,2273
79,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,172N10 - SHOP CENTER NORTE/METRO BELEM,407,652,33,40,2,517,0,81,2,1734,901,376,3011
80,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,172110 - VILA EDE/METRO CARANDIRU,653,960,27,65,3,757,0,463,2,2930,850,597,4377
81,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,172151 - VILA EDE/PCA DO CORREIO,4,7,0,0,0,10,0,0,0,21,18,6,45
82,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,172610 - VILA ZILDA/METRO SANTANA,698,1204,31,86,2,767,4,140,1,2933,1429,469,4831
83,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,173210 - VILA SABRINA/METRO SANTA CECIL,358,570,15,40,2,441,1,63,2,1492,568,391,2451
84,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,174M10 - JD BRASIL/MUSEU IPIRANGA,607,658,19,43,1,425,2,68,0,1823,870,415,3108
85,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,174110 - VILA DIONIZIA/METRO SANTANA,459,677,25,57,1,640,3,343,3,2208,801,261,3270
86,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,174210 - JD ANTARTICA/METRO SANTANA,282,554,13,46,1,502,0,185,0,1583,599,276,2458
87,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,174310 - JD PERY ALTO/METRO TIETE,799,1168,59,116,6,900,5,204,6,3264,1248,389,4901
88,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,174351 - JD PERY ALTO/TER AMARAL GURGEL,4,9,0,0,0,10,0,1,0,24,8,6,38
89,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,174410 - LAUZANE PAULISTA/METRO SANTANA,441,587,26,62,1,436,1,306,3,1863,719,349,2931
90,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,174510 - VL NV CACHOEIRINHA/SHOP C NORT,247,428,13,46,1,334,0,129,5,1203,499,202,1904
91,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,175P10 - EDU CHAVES/ANA ROSA,396,862,32,52,1,670,0,290,2,2306,1252,352,3910
92,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,175T10 - METRO SANTANA/METRO JABAQUARA,707,1191,76,88,6,1233,0,275,1,3577,2542,542,6661
93,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,175610 - PEDRA BRANCA/METRO SANTANA,337,562,13,50,1,404,0,213,3,1583,598,334,2515
94,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,175710 - CONJ BANCARIOS/METRO SANTANA,89,239,14,26,0,192,0,45,0,605,242,156,1003
95,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,175810 - JD ANTARTICA/METRO SANTANA,573,995,19,57,3,720,0,320,0,2688,1038,402,4128
96,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,175851 - JD ANTARTICA/TER AMARAL GURGEL,10,19,0,1,0,29,0,1,0,60,9,1,70
97,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,175910 - JD PERY/METRO SANTANA,637,952,37,81,1,808,2,496,0,3015,1231,459,4705
98,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,176010 - COHAB ANTARTICA/SHOP C NORTE,395,644,22,58,0,552,2,93,2,1770,637,277,2684
99,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,176410 - JD CORISCO/METRO SANTANA,497,989,30,72,0,570,2,95,2,2257,1021,382,3660
100,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,176510 - JD CABUÇU/METRO TUCURUVI,262,340,11,29,0,310,0,253,1,1206,303,254,1763
101,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,176610 - JD CABUÇU/METRO SANTANA,134,166,7,14,0,149,0,8,1,479,165,121,765
102,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,176710 - EDU CHAVES/METRO TUCURUVI,490,530,17,64,1,442,0,377,0,1921,585,472,2978
103,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,176751 - EDU CHAVES/PCA DO CORREIO,2,7,0,1,0,7,0,0,0,17,16,3,36
104,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,177H10 - METRO SANTANA/BUTANTA- USP,9,15,0,1,0,11,0,1,0,37,13,2,52
105,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,177H21 - METRO SANTANA/PINHEIROS,226,497,16,29,0,487,0,193,2,1450,833,253,2536
106,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,177P10 - METRO SATANA/BUTANTA USP,0,1,0,0,0,3,0,1,0,5,1,0,6
107,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,177Y10 - CASA VERDE/PINHEIROS,251,504,24,19,3,506,3,323,1,1634,982,202,2818
108,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,177110 - VILA ZILDA/METRO SANTANA,338,708,20,60,1,433,1,144,0,1705,758,317,2780
109,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,177210 - JD FILHOS DA TERRA/METRO TUCUR,369,646,16,59,0,496,1,315,3,1905,804,281,2990
110,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,177310 - VILA AYROSA/METRO SANTANA,361,548,11,46,1,403,0,4,0,1374,569,287,2230
111,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,177810 - JACANA/METRO SANTANA,134,235,8,21,0,179,3,18,0,598,384,203,1185
112,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,177851 - JACANA/ PRAÇA DO CORREIO,13,12,1,0,0,11,0,0,0,37,14,3,54
113,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,178A10 - IMIRIM/LAPA,158,323,12,23,1,322,0,42,1,882,509,201,1592
114,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,178L10 - LAUZANE PAULISTA/HOSP CLINICAS,404,728,29,59,3,609,1,186,3,2023,675,271,2969
115,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,178T10 - METRO SANTANA/CEASA,439,618,21,44,0,540,0,136,0,1798,1253,335,3386
116,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,178210 - V NOVA GALVAO/METRO SANTANA,359,620,25,49,1,492,9,30,0,1585,673,365,2623
117,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,178310 - CACHOEIRA/METRO SANTANA,479,797,21,89,1,462,5,127,0,1981,966,352,3299
118,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,178352 - CACHOEIRA/PCA DO CORREIO,3,4,0,0,0,5,0,0,0,12,6,0,18
119,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,178810 - JD FONTALIS/METRO SANTANA,411,732,19,61,1,502,4,120,0,1850,1107,408,3365
120,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,201010 - JD BRASIL/METRO TIETE,571,792,32,59,1,555,1,180,0,2191,858,418,3467
121,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,201021 - PÇA AUGUSTA VITORIA/METRO SANT,5,0,0,0,0,0,0,0,0,5,0,0,5
122,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,201110 - EDU CHAVES/METRO SANTANA,542,786,29,76,0,651,2,86,0,2172,923,651,3746
123,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,202010 - HORTO FLORESTAL/M PARADA INGLE,72,199,7,21,1,126,0,47,0,473,265,203,941
124,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,202310 - CACHOEIRA/METRO TUCURUVI,445,815,26,98,0,551,11,115,0,2061,814,320,3195
125,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,202410 - CACHOEIRA/DIB - CIRCULAR,15,44,0,0,0,25,0,0,0,84,65,18,167
126,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,202510 - CACHOEIRA/DIB - CIRCULAR,494,725,29,49,0,675,1,211,1,2185,829,446,3460
127,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,202610 - JAÇANA/PARQUE NOVO MUNDO,129,120,1,5,0,94,0,0,0,349,172,134,655
128,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,202810 - VILA AYROSA/METRO TUCURUVI,208,359,9,39,1,263,1,60,1,941,385,174,1500
129,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,202910 - JD FONTALIS/METRO TUCURUVI,145,345,8,33,0,273,1,86,3,894,266,151,1311
130,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,203010 - LAUZANE PAULISTA/METRO SANTANA,0,0,0,0,0,0,0,0,0,0,5,0,5
131,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,203210 - PQ EDU CHAVES/METRO CARANDIRU,314,575,9,35,1,466,1,113,0,1514,519,336,2369
132,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,209C10 - CENTER NORTE/VILA MADALENA,92,205,14,14,0,202,0,25,0,552,324,85,961
133,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,209P10 - CACHOEIRINHA/TERM PINHEIROS,929,1858,72,111,4,2299,4,522,2,5804,4916,830,11550
134,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,210310 - JD BRASIL/PRAÇA DO CORREIO,1,10,1,0,0,13,0,0,0,25,9,2,36
135,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,210410 - METRO SANTANA/TERM PQ D PEDRO ,91,209,14,14,0,108,1,15,1,454,585,126,1165
136,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,210510 - JD FILHOS DA TERRA/LGO DA CONC,245,305,10,24,0,169,0,12,2,767,340,144,1251
137,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,211L10 - MANDAQUI/LAPA,282,414,12,22,2,298,1,38,0,1069,610,222,1901
138,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,212310 - VILA MEDEIROS/METRO LIBERDADE,629,491,16,16,1,348,0,50,0,1552,392,270,2214
139,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,212710 - JD BRASIL/METRO LIBERDADE,769,518,23,45,1,415,1,98,0,1870,593,299,2762
140,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,216110 - PQ EDU CHAVES/PCA DO CORREIO,336,262,2,20,0,157,0,12,0,789,290,227,1306
141,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,217110 - PC DA ALEGRIA/PQ D PEDRO II,298,160,4,8,1,109,0,13,0,593,298,127,1018
142,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,217510 - JD GUANCA/PCA DA SE,186,199,4,11,0,187,0,21,0,608,217,134,959
143,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,218210 - JD BRASIL/PCA DO CORREIO,1023,755,19,26,0,380,0,42,0,2245,878,482,3605
144,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,271A10 - TERM PENHA/METRO SANTANA,630,794,20,69,1,681,5,158,5,2363,1284,412,4059
145,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,271A51 - CANGAIBA/METRO SANTANA,469,579,18,42,0,385,2,87,5,1587,775,310,2672
146,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,271C10 - PQ VILA MARIA/PCA DA REPUBLICA,283,418,6,31,0,299,2,42,1,1082,355,182,1619
147,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,271F10 - METRO BELEM/SHOP CENTER NORTE,435,387,19,27,0,292,0,132,1,1293,732,241,2266
148,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,271M10 - PQ NOVO MUNDO/METRO SANTANA,321,407,9,32,1,332,0,121,3,1226,607,233,2066
149,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,271P10 - CANGAIBA/EST DA LUZ,300,261,6,26,0,191,0,21,0,805,355,197,1357
150,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,272N10 - PQ NOVO MUNDO/METRO BRAS,291,224,3,10,0,180,0,13,0,721,257,145,1123
151,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,274010 - PEDRA BRANCA/METRO SANTANA,181,335,22,29,0,237,3,59,1,867,555,254,1676
