,DATA,TIPO,AREA,EMPRESA,LINHA,"PASSAGEIROS PAGANTES EM DINHEIRO

(A)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM

(B)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM MENSAL

(C)","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE

(D) ","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE MENSAL

(E) ","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE

(F)","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE MENSAL

(G)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM

(H)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM MENSAL

(I)","PASSAGEIROS PAGANTES

(J) = (A+B+C+D+E+F+G+H+I)","PASSAGEIROS INTEGRAÇÕES ÔNIBUS -> ÔNIBUS

(K)","PASSAGEIROS COM GRATUIDADE

(L)","PASSAGEIROS COM GRATUIDADE ESTUDANTE

(M)","TOTAL PASSAGEIROS TRANSPORTADOS

(N) = (J + K + L + M)"
10,2015-12-31,CONCESSAO,AREA 1,GATO PRETO,917M10 - MORRO GRANDE/METRO ANA ROSA,254,432,68,12,2,458,9,28,3,1266,604,280,38,2188
11,2015-12-31,CONCESSAO,AREA 1,GATO PRETO,938L10 - TTVN CACHOEIRINHA/LAPA,519,706,96,17,4,659,47,189,17,2255,2014,466,82,4817
12,2015-12-31,CONCESSAO,AREA 1,GATO PRETO,978A10 - TTVN CACHOEIRINHA/MBARRA FUNDA,533,741,128,17,4,919,19,620,33,3018,2735,591,130,6474
13,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,N10111 - TERM LAPA/TERM PQ D PEDRO II,20,36,2,1,0,35,1,3,1,99,65,15,0,179
14,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,N10211 - TERM LAPA/TERM PQ D PEDRO II,83,124,7,2,1,117,2,12,0,349,110,58,8,525
15,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,N10311 - TERM PIRITUBA/TERM LAPA,8,20,2,0,0,21,2,2,1,56,35,14,2,107
16,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,N10411 - TERM PIRITUBA/TERM LAPA,33,46,14,3,0,34,1,3,1,135,181,20,4,340
17,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,N10611 - T PQ D PEDRO /MET BARRA FUNDA,18,47,1,1,0,35,0,7,0,109,36,21,6,172
18,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,N13111 - TERM LAPA/VILA PIAUI,13,1,0,0,0,7,0,1,1,23,19,1,1,44
19,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,N13211 - TERM PIRITUBA/PQ SAO DOMINGOS,1,3,1,0,0,5,1,1,1,13,21,3,0,37
20,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,N13311 - TERM PIRITUBA/CID D ABRIL 3ª G,7,8,1,0,0,7,0,1,0,24,19,1,0,44
21,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,N13411 - TERM CACHOEIRINHA/TAIPAS,22,20,1,0,0,12,0,0,0,55,66,5,2,128
22,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,N13511 - TERM PIRITUBA/JD DONARIA,15,25,9,0,1,33,1,5,1,91,73,11,2,177
23,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,N13611 - TERM LAPA/MORRO DOCE,20,19,1,0,0,21,1,6,0,68,33,6,0,107
24,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,129F10 - CONEX PETRON PORT/M BARRA FUND,540,866,175,28,3,993,52,472,23,3152,3449,967,132,7700
25,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,189L10 - VILA LORIO/LAPA,657,1071,205,30,2,929,92,413,33,3435,5234,1012,186,9867
26,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,199D10 - VILA LORIO/TERMINAL PINHEIROS,335,941,131,25,2,869,23,145,14,2485,1837,510,50,4882
27,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,209P01 - CACHOEIRINHA/TERM PINHEIROS,235,444,64,9,2,516,27,135,10,1444,1277,216,36,2973
28,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800010 - TERM LAPA/PCA RAMOS,258,453,78,18,0,399,22,87,8,1324,980,424,39,2767
29,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800110 - VILA PIAUI/TERM LAPA,167,147,8,2,0,129,4,35,4,497,174,98,11,780
30,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800210 - DOMITILA/TERM LAPA,155,242,18,3,0,134,4,57,1,614,326,139,23,1102
31,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800310 - V REMEDIOS/TERM LAPA,283,294,19,9,1,269,16,104,2,997,468,140,22,1627
32,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800410 - SANTA MONICA/TERM LAPA,586,684,41,20,0,591,24,128,11,2085,723,361,74,3243
33,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800610 - JD DONARIA/TERM PIRITUBA,219,582,43,12,0,467,13,40,4,1381,743,358,69,2551
34,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800710 - VILA CLARICE/TERM PIRITUBA,200,363,35,10,0,333,10,110,4,1066,584,202,91,1943
35,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800810 - STA MONICA/TERMPIRITUBA,394,586,63,26,0,506,22,105,14,1716,977,408,78,3179
36,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800910 - CID DABRIL III/TERMPIRITUBA,61,95,7,5,1,85,4,7,2,267,125,80,16,488
37,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800931 - CID DABRIL III/TERMPIRITUBA,207,324,24,6,3,310,3,50,3,930,394,316,58,1698
38,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,804010 - SOL NASCENTE/LAPA,973,1274,82,30,2,1321,34,155,8,3879,1277,506,170,5832
39,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,804310 - VILA NOVA ESPERANÇA/LAPA,141,185,11,8,2,137,8,6,0,498,136,110,24,768
40,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,804710 - JARAGUA/LAPA,886,912,59,18,1,978,29,82,13,2979,1139,504,125,4747
41,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,804741 - JARAGUA/METRO VILA MADALENA,129,157,3,6,0,173,5,14,0,487,198,76,16,777
42,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,805010 - PQ MORRO DOCE/LAPA,557,602,44,13,4,579,15,90,11,1915,856,321,62,3154
43,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,805031 - PQ MORRO DOCE/LAPA,323,315,13,6,0,341,2,22,2,1024,400,128,35,1587
44,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,805510 - PERUS/LAPA,838,996,82,24,0,1246,33,362,17,3598,1693,634,126,6051
45,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,805551 - PERUS/BARRA FUNDA,437,479,32,13,1,608,8,123,8,1709,575,246,62,2592
46,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,806010 - VILA PIAUI/LAPA,345,328,26,12,1,380,4,64,5,1165,408,200,24,1797
47,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,806210 - PQ S DOMINGOS/LAPA,104,148,9,5,0,104,0,9,1,380,117,95,7,599
48,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,806510 - VILA CLARICE/LAPA,45,69,8,1,2,58,0,13,0,196,89,76,11,372
49,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,810010 - TERMPIRITUBA/TERM LAPA,345,635,103,21,1,508,34,91,10,1748,1463,444,98,3753
50,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,820010 - TERM PIRITUBA/TERMPIRITUBA,120,202,27,8,0,182,9,39,6,593,489,223,35,1340
51,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,821510 - JD PAULISTANO/PCA DO CORREIO,351,539,50,10,0,510,19,17,14,1510,820,386,45,2761
52,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,830010 - TERM PIRITUBA/TERM LAPA,148,293,41,12,1,267,3,70,5,841,774,258,39,1912
53,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,840010 - TERM PIRITUBA/PCA RAMOS,722,1195,223,45,2,1204,60,159,15,3626,3078,951,138,7793
54,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,846M10 - JD MARISA/SHOP IBIRAPUERA,117,118,13,4,0,119,3,15,0,389,149,62,6,606
55,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,847J10 - CITY JARAGUA/JAGUARE,290,442,43,12,0,550,12,22,2,1373,499,226,21,2119
56,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,847P10 - TERM PIRITUBA/ITAIM BIBI,491,968,117,32,3,981,29,159,23,2804,1969,440,88,5301
57,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,847P42 - VILA BRASILANDIA/ITAIM BIBI,109,169,19,2,1,191,3,29,2,525,263,99,12,899
58,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,850010 - TERM PIRITUBA/BARRA FUNDA,436,724,158,32,6,1049,31,519,28,2985,2155,634,91,5865
59,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,852810 - JD GUARANI/PCA DO CORREIO,458,699,77,12,2,765,24,32,14,2084,1013,572,76,3745
60,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,854410 - CID DABRIL 3 GLEBA/PC RAMOS AZ,140,233,34,9,2,300,7,45,4,774,422,216,37,1449
61,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,854810 - JD DOS CUNHAS/PCA DO CORREIO,264,408,57,12,2,389,7,81,5,1225,557,294,44,2120
62,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,854910 - TAIPAS/PCA DO CORREIO,524,863,86,26,0,888,26,48,5,2467,967,602,55,4091
63,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,859410 - CID DABRIL/PCA RAMOS AZEVEDO,889,1181,143,39,3,1162,44,177,17,3656,1751,911,131,6449
64,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,860010 - TERM PIRITUBA/LGO PAISSANDU,199,401,66,7,3,409,13,30,4,1132,959,249,38,2378
65,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,862210 - MORRO DOCE/PCA RAMOS DE AZEVED,1376,1629,134,35,4,1757,46,256,15,5252,1811,652,194,7909
66,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,867710 - JD LIBANO/PCA RAMOS DE AZEVEDO,434,466,45,7,0,546,16,75,3,1592,557,203,44,2396
67,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,867731 - JD LIBANO/PCA RAMOS AZEVEDO,352,417,36,13,0,431,12,65,8,1334,490,269,31,2124
68,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,868610 - MANGALOT/PCA RAMOS AZEVEDO,353,371,42,23,0,397,12,69,9,1276,430,249,27,1982
69,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,869610 - JARAGUA/PCA RAMOS AZEVEDO,234,279,29,9,1,297,14,36,7,906,368,204,29,1507
70,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,869641 - JARAGUA/PCA RAMOS AZEVEDO,249,282,26,14,0,317,11,30,9,938,361,219,39,1557
71,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,888P10 - PERUS/COHAB TAIPAS,909,913,72,24,0,950,13,221,24,3127,1337,1068,178,5710
72,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,901210 - ITABERABA/TERM LAPA,66,130,11,0,0,163,4,30,3,407,184,153,9,753
73,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,917H10 - MERCADO PIRITUBA/VLA MARIANA,1198,1392,150,55,3,1290,44,319,24,4475,2167,846,155,7643
74,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,930110 - TERM CASA VERDE/PAISSANDU,327,572,55,10,3,335,8,20,8,1339,639,353,36,2367
75,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,938C10 - COHAB TAIPAS/TERM PRINC ISABEL,257,475,40,12,2,448,14,32,4,1284,544,372,38,2238
76,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,948A10 - VL ZATTI/TERM PIRITUBA,201,345,34,4,0,344,16,73,5,1023,398,260,38,1719
77,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,950010 - TERM CACHOEIRINHA/PAISSANDU,474,696,128,13,5,627,31,29,12,2016,1455,557,46,4074
78,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,950110 - TERM  CACHOEIRINHA/PAISSANDU,679,1247,205,21,10,1316,68,71,29,3651,3038,753,114,7556
79,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,957T10 - COHAB TAIPAS/ITAIM BIBI,297,498,60,15,0,536,16,70,7,1501,817,399,47,2764
80,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,958P10 - JD NARDINI/COHAB TAIPAS,192,276,22,6,0,261,4,35,3,799,326,126,14,1265
81,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,965310 - PEDRA BRANCA/LGO DO PAISSANDU,838,1124,152,24,4,1033,52,20,17,3265,1922,988,117,6292
82,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,975A10 - VILA BRASILANDIA/METRO ANA ROS,189,312,42,8,1,278,7,25,7,869,478,193,22,1562
83,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,978J10 - VOITH/PCA PRINC ISABEL,321,589,55,14,0,626,11,49,6,1671,654,382,53,2760
84,2015-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,978L10 - TERM CACHOEIRNHA/TERM P ISABEL,294,541,74,17,1,523,15,114,8,1589,1057,427,32,3105
85,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N20111 - TERM PQ D PEDRO/METRO TUCURUVI,48,32,5,0,0,25,0,7,1,118,48,18,5,189
86,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N20211 - MET SANTANA/TERM PINHEIROS,14,42,5,2,0,35,0,1,3,102,24,11,2,139
87,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N20311 - MET TUCURUVI/TERM PQ D PEDRO ,77,63,8,0,0,77,1,10,3,239,157,40,11,447
88,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N20411 - METRO TUCURUVI/TERM PQ D PEDRO,17,23,2,0,0,19,0,2,1,64,15,8,1,88
89,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N20511 - TERM CACHOEIRINHA/TERM PINHEIR,25,46,5,2,0,54,3,0,0,135,36,5,3,179
90,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N20611 - TERM CASA VERDE/METRO SANTANA,7,11,2,0,0,6,0,5,0,31,21,2,0,54
91,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N20711 - TERM CASA VERDE/TERM PQ D PEDR,8,42,5,0,1,28,0,1,3,88,41,8,0,137
92,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N20811 - T CASA VERDE/METRO V MADALENA ,2,4,0,1,0,6,0,1,1,15,5,3,0,23
93,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N20911 - TERM CACHOEIRINHA/TERM SANTANA,23,37,4,0,0,15,1,8,1,89,78,10,4,181
94,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N23311 - METRO SANTANA/VILA SABRINA,3,5,1,0,0,8,0,1,2,20,8,5,0,33
95,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N23511 - METRO SANTANA/PEDRA BRANCA,3,8,1,0,0,6,1,1,0,20,13,8,0,41
96,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N23611 - METRO SANTANA/JARDIM ANTARTICA,10,20,1,0,0,29,0,5,0,65,36,15,3,119
97,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N23711 - METRO TUCURUVI/EDU CHAVES,11,8,1,1,0,5,0,10,1,37,14,6,2,59
98,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N23811 - METRO SANTANA/CEM PQ DOS PINHE,23,39,1,0,0,37,0,3,2,105,19,7,2,133
99,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N23911 - METR TUCURUVI/VILA NOVA GALVAO,4,3,1,0,0,5,0,1,1,15,16,5,1,37
100,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N24011 - METRO SANTANA/CACHOEIRA,22,29,4,1,0,26,0,4,0,86,29,8,6,129
101,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N24211 - METRO SANTANA/JD CAMPO LIMPO,12,23,2,0,0,11,0,4,0,52,20,8,3,83
102,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N24311 - METRO SANTANA/JARDIM BRASIL,14,9,0,0,0,12,0,3,1,39,23,2,1,65
103,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N24411 - METRO TUCURUVI/JD FLOR DE MAIO,13,17,0,0,0,21,0,1,1,53,39,19,2,113
104,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,N24511 - METRO SANTANA/JARDIM PERY ALTO,18,29,0,0,0,15,1,2,2,67,33,12,1,113
105,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,106A10 - METRO SANTANA / ITAIM BIBI,443,691,87,25,3,739,14,123,20,2146,1634,418,29,4227
106,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,107T10 - CID UNIVERSIT/ METRO TUCURUVI,186,346,58,17,2,287,3,80,6,985,769,244,21,2019
107,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,115610 - VILA SABRINA/PC DO CORREIO,672,743,63,24,3,566,9,45,10,2136,772,549,53,3510
108,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,118C10 - JD PERY ALTO/METRO ST CECILIA,1170,1653,198,43,6,1425,39,216,22,4775,1925,920,140,7760
109,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,119C10 - VILA SABRINA/TERM PRINC ISABEL,522,392,26,3,2,295,5,31,5,1282,346,272,29,1929
110,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,148L10 - CACHOEIRINHA/LAPA,949,1326,105,31,3,1104,38,82,6,3644,1535,1042,131,6352
111,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,148P10 - JD PERY/LAPA,901,1263,130,32,6,907,20,292,15,3568,1472,958,135,6133
112,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,170310 - CAMPO LIMPO/TERM PARADA INGLES,389,528,37,11,0,434,4,24,3,1430,684,346,71,2531
113,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,172N10 - SHOP CENTER NORTE/METRO BELEM,368,522,52,6,1,428,15,68,5,1465,717,404,36,2622
114,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,172110 - VILA EDE/METRO CARANDIRU,589,759,58,34,3,642,16,366,16,2484,785,692,66,4027
115,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,172610 - VILA ZILDA/METRO SANTANA,643,1113,81,21,3,769,27,121,14,2792,1308,652,110,4862
116,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,173210 - VILA SABRINA/METRO SANTA CECIL,368,522,44,21,2,471,4,43,8,1483,572,443,45,2543
117,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,174M10 - JD BRASIL/MUSEU IPIRANGA,632,565,56,22,5,396,7,62,12,1757,757,497,32,3043
118,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,174110 - VILA DIONIZIA/METRO SANTANA,394,642,53,27,6,496,12,256,6,1892,673,316,65,2946
119,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,174210 - JD ANTARTICA/METRO SANTANA,428,575,64,31,1,503,19,195,8,1825,680,381,50,2936
120,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,174310 - JD PERY ALTO/METRO TIETE,692,1052,104,45,6,884,21,181,9,2994,1231,476,114,4815
121,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,174410 - LAUZANE PAULISTA/METRO SANTANA,416,554,50,30,0,353,10,214,5,1633,582,422,57,2694
122,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,174510 - VL NV CACHOEIRINHA/SHOP C NORT,274,407,50,29,1,404,5,111,3,1285,460,248,42,2035
123,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,175P10 - EDU CHAVES/ANA ROSA,406,735,95,25,3,610,14,233,10,2131,1052,395,51,3629
124,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,175T10 - METRO SANTANA/METRO JABAQUARA,781,1065,151,58,3,1110,57,255,19,3504,2203,676,107,6490
125,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,175610 - PEDRA BRANCA/METRO SANTANA,349,539,56,16,3,366,10,137,4,1480,533,384,39,2436
126,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,175710 - CONJ BANCARIOS/METRO SANTANA,115,226,22,12,3,170,3,36,4,592,203,205,9,1009
127,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,175810 - JD ANTARTICA/METRO SANTANA,566,774,61,23,2,636,19,314,8,2403,884,416,63,3766
128,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,175910 - JD PERY/METRO SANTANA,514,779,82,18,2,689,24,330,8,2446,890,459,59,3854
129,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,176010 - COHAB ANTARTICA/SHOP C NORTE,360,649,51,33,5,556,19,101,7,1781,551,300,73,2705
130,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,176410 - JD CORISCO/METRO SANTANA,412,1071,57,20,0,618,10,45,10,2243,968,559,82,3852
131,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,176510 - JD CABUÇU/METRO TUCURUVI,290,278,21,14,2,314,0,219,8,1148,301,252,37,1738
132,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,176610 - JD CABUÇU/METRO SANTANA,132,175,7,3,0,146,0,6,3,472,131,134,7,744
133,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,176710 - EDU CHAVES/METRO TUCURUVI,439,482,44,25,1,400,2,281,9,1683,480,558,59,2780
134,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,177H10 - METRO SANTANA/BUTANTA- USP,2,11,4,2,1,12,1,2,0,35,11,1,1,48
135,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,177H21 - METRO SANTANA/PINHEIROS,255,461,63,19,1,477,14,132,14,1436,652,333,33,2454
136,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,177P10 - METRO SATANA/BUTANTA USP,2,3,0,0,0,1,0,0,0,6,2,0,1,9
137,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,177Y10 - CASA VERDE/PINHEIROS,204,383,48,15,1,384,18,252,13,1319,800,168,28,2315
138,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,177110 - VILA ZILDA/METRO SANTANA,259,482,36,8,0,371,9,115,8,1288,537,266,56,2147
139,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,177210 - JD FILHOS DA TERRA/METRO TUCUR,516,844,57,13,2,667,2,304,18,2424,951,495,138,4008
140,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,177310 - VILA AYROSA/METRO SANTANA,321,517,35,9,2,400,11,0,2,1297,578,341,46,2262
141,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,177810 - JACANA/METRO SANTANA,126,289,31,11,0,250,4,22,9,742,478,366,28,1614
142,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,178A10 - IMIRIM/LAPA,133,250,30,7,2,185,4,32,1,644,379,193,25,1241
143,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,178L10 - LAUZANE PAULISTA/HOSP CLINICAS,359,600,66,19,0,462,12,134,8,1660,571,336,45,2612
144,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,178T10 - METRO SANTANA/CEASA,430,672,74,28,2,551,14,117,7,1897,1272,625,64,3858
145,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,178210 - V NOVA GALVAO/METRO SANTANA,297,493,37,6,0,424,5,29,3,1294,510,380,35,2219
146,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,178310 - CACHOEIRA/METRO SANTANA,496,808,80,27,3,530,22,119,16,2101,955,502,125,3683
